admin1pcode,admin4pcode,sub_district,site,longitude_x,latitude_y,persons,type,temp_code
NA,NA,NA,NA,NA,NA,NA,RC/IDP,NA
SY07,C4121,Dana,Yedi Basak Center,36.770579,36.172363,850,RC/IDP,TEMP070
SY07,NA,Dana, Ihsan   Al-Ihsan Center for Shelter,36.758465,36.204912,250,RC/IDP,TEMP092
SY02,C1202,Al Bab,Al-Huda Camp   ,37.494718,36.374748,359,RC/IDP,TEMP061
SY02,C1426,Jandairis,Baba Amro RC    ,36.68689,36.428587,520,RC/IDP,TEMP062
SY02,C1426,Jandairis,Ehsas 2   ,36.698894,36.40227,485,RC/IDP,TEMP063
SY02,C1426,Jandairis,Al-Bashir - mercy without limits   . ,36.659392,36.392313,1071,RC/IDP,TEMP064
SY02,C1426,Jandairis,   ALZYARA SEMA,36.685413,36.396116,670,RC/IDP,TEMP065
SY02,C1426,Jandairis,Kifaf 1 ,36.711875,36.401979,365,RC/IDP,TEMP066
SY02,C1426,Jandairis,Ajnadin  ,36.706016,36.396187,819,RC/IDP,TEMP067
SY02,C1426,Jandairis,Al_Mazraa  ,36.68926,36.385922,1650,RC/IDP,TEMP068
SY02,NA,Afrin,Ard amal   ,36.794195,36.45091,1171,RC/IDP,TEMP069
SY02,C8160,Jandairis,Agele Reception Center )  ,36.661767,36.375456,317,RC/IDP,TEMP071
SY02,C1643,Mare',AlEido ,37.20815,36.49009,63,RC/IDP,TEMP072
SY02,C1643,Mare',Al-Aboud ,37.20819,36.49006,69,RC/IDP,TEMP073
SY02,NA,Sharan,Qara Jannah,36.906271,36.60885,163,RC/IDP,TEMP075
SY02,NA,Sharan,Kafrajana(side  of Jamil palace),36.964773,36.58142,102,RC/IDP,TEMP076
SY02,C1424,Jandairis,Al Mahalla -Maqla'a    - ,36.770047,36.35714,401,RC/IDP,TEMP077
SY02,NA,Sharan, Haritan Camp,36.9751174,36.60062,345,RC/IDP,TEMP078
SY02,C1426,Jandairis,   ( ) Gehan Olive press,36.676759,36.39374,155,RC/IDP,TEMP080
SY02,C1426,Jandairis,Aljabal  ,36.6382,36.37412,250,RC/IDP,TEMP081
SY02,C1426,Jandairis,Almuhallak Alshamale   ,36.68032,36.38753,160,RC/IDP,TEMP083
SY02,NA,Afrin,Ansor  ,36.90555,36.47999,750,RC/IDP,TEMP084
SY02,C1426,Jandairis,Karam  ,36.68356,36.38906,150,RC/IDP,TEMP087
SY02,NA,Afrin,Takaful Alkhairya Camp    ,36.85688,36.5127,1450,RC/IDP,TEMP088
SY02,NA,Afrin,Near Alsaqiah Almahmoudiah,36.842653,36.51278,1181,RC/IDP,TEMP074
SY02,NA,Afrin,Driving school   ,36.79425,36.45071,1600,RC/IDP,TEMP091
SY02,NA,Atareb, ,36.766906,36.162296,1050,RC/IDP,TEMP093
SY02,NA,Jandairis,    ( ),36.6620398,36.371603,1970,RC/IDP,TEMP094
SY02,NA,Afrin,Mashfa Lbnn Sena     ,36.8556578,36.5057132,650,RC/IDP,TEMP090
SY02,NA,Afrin,  Alhomsi,36.8507772,36.5150569,1000,RC/IDP,TEMP082
SY02,NA,Afrin,1  Alrahma,36.8799474,36.5151415,500,RC/IDP,TEMP089
SY02,NA,Afrin,   Amal camp,36.8736678,36.5148479,185,RC/IDP,TEMP095
SY02,NA,Afrin,  Alnoor,36.8563542,36.5130557,230,RC/IDP,TEMP096
SY02,NA,Afrin,  .    Ahl_Alsham,36.8526601,36.5150852,1000,RC/IDP,TEMP085
