hub,intervention_type,donor,report_date,distribution_date,planned_implemented,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,site,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,location_pcode,location_type,longitude_x,latitude_y,partner_code
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Cooked Meals,One Off Distribution,1,3,KG,200,1000,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,مخيم سر جبلة,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Food Baskets,One Off Distribution,30,32,KG,30,150,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,مخيم سر جبلة,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Food Baskets,One Off Distribution,30,32,KG,30,150,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,مركز ايواء الكمونه,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Food Baskets,One Off Distribution,30,32,KG,10,50,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,مركز ايواء الدانه,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Free Bread Distribution,One Off Distribution,1,1,KG,350,1750,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,مركز ايواء الدانه,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Free Bread Distribution,One Off Distribution,1,1,KG,350,1750,N/A,Idleb,Harim,Dana,Dana (Dana),In the Village,مركز ايواء الكمونه,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,Private donor,2023-03-09T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Free Bread Distribution,One Off Distribution,1,1,KG,300,1500,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,مخيم سر جبلة,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,NA
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,91,455,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,al raheel,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,79,395,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Al Anfal camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,76,380,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Saberoon camp,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,96,480,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,kfrsajneh,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,133,665,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,shohadaa al latamneh,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,105,525,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,Kfr Nabodah al mankoob,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
NWS,Earthquake,WFP,2023-02-26T00:00:00Z,2023-02-08T00:00:00Z,Implemented,Ready to Eat Ration,One Off Distribution,5,11.455,KG,66,330,N/A,Idleb,Harim,Dana,Dana (Dana),In the Camp,AL Adham,NA,SY07,SY0703,SY070301,C4126,C4126,Community,36.76958,36.213601,CBR-041
